       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                      参加           番号
北海道   市立函館病院                             ○           624
北海道   市立札幌病院                             ○           879
北海道   札幌厚生病院                             ○           198
北海道   JR札幌病院                             ○           651
北海道   勤医協中央病院                            ○           850
北海道   地域医療機能推進機構 札幌北辰病院                  ○           587
北海道   手稲渓仁会病院                            ○           68
北海道   札幌徳洲会病院                            ○           912
北海道   札幌東徳洲会病院                           ○           755
北海道   KKR札幌医療センター                        ○           235
北海道   NTT東日本札幌病院                         ○           346
北海道   日鋼記念病院                             ○           223
北海道   市立室蘭総合病院                           ○           542
北海道   市立旭川病院                             ○           826
北海道   旭川厚生病院                             ○           843
北海道   帯広厚生病院                             ○           534
北海道   釧路労災病院                             ○           557
北海道   名寄市立総合病院                           ○           316
北海道   王子総合病院                             ○           181
北海道   地域医療機能推進機構 北海道病院                   ○           543
北海道   函館五稜郭病院                            ○           268
北海道   砂川市立病院                             ○           89
北海道   江別市立病院                             ○           176
北海道   岩見沢市立総合病院                          ○           748
北海道   北斗病院                               ○           637
北海道   滝川市立病院                             ○           878
北海道   苫小牧市立病院                            ○           118
北海道   帯広協会病院                             ○           379
北海道   北見赤十字病院                            ○           200
北海道   市立釧路総合病院                           ○           601
北海道   留萌市立病院                             ○           481
北海道   函館中央病院                             ○           85
北海道   製鉄記念室蘭病院                           ○           576
北海道   天使病院                               ○           631
北海道   市立千歳市民病院                           ○           18
北海道   国立病院機構 函館医療センター                    ○           297
北海道   北海道社会事業協会小樽病院                      ○           168
北海道   深川市立病院                             ○           589
北海道   釧路赤十字病院                            ○           97
北海道   帯広第一病院                             ○           883
       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                         病院名
府県                                      参加           番号
北海道   斗南病院                               ○           799
北海道   旭川赤十字病院                            ○           523
北海道   国立病院機構 旭川医療センター                    ○           241
北海道   市立稚内病院                             ○           208
北海道   遠軽厚生病院                             ○           597
北海道   国立病院機構 北海道医療センター                   ○            24
北海道   網走厚生病院                             ○           492
北海道   富良野協会病院                            ○           1028
北海道   恵み野病院                              ○           569
北海道   八雲総合病院                             ○           738
北海道   小樽市立病院                             ○           309
北海道   ニセコ羊蹄広域 倶知安厚生病院                    ○           101
北海道   釧路孝仁会記念病院                          ○           884
北海道   札幌孝仁会記念病院                          ○           303
北海道   済生会小樽病院                            ○           146
青森    国立病院機構 弘前総合医療センター                  ○           698
青森    八戸市立市民病院                           ○           204
青森    青森県立中央病院                           ○           667
青森    津軽保健生活協同組合 健生病院                    ○           932
青森    十和田市立中央病院                          ○           553
青森    下北医療センター むつ総合病院                    ○           300
青森    青森市民病院                             ○           796
青森    黒石市国民健康保険 黒石病院                     ○           474
青森    青森労災病院                             ○           623
青森    つがる総合病院                            ○           287
青森    三沢市立三沢病院                           ○           847
青森    八戸赤十字病院                            ○           305
岩手    岩手県立中央病院                           ○           609
岩手    盛岡赤十字病院                            ○            29
岩手    岩手県立胆沢病院                           ○           555
岩手    岩手県立磐井病院                           ○           682
岩手    岩手県立大船渡病院                          ○           737
岩手    岩手県立宮古病院                           ○           822
岩手    岩手県立久慈病院                           ○           771
岩手    岩手県立二戸病院                           ○           902
岩手    盛岡市立病院                             ○           510
岩手    岩手県立中部病院                           ○           344
秋田    秋田赤十字病院                            ○           982
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
秋田   社会医療法人明和会 中通総合病院                   ○           51
秋田   由利組合総合病院                           ○           943
秋田   平鹿総合病院                             ○           185
秋田   市立秋田総合病院                           ○           676
秋田   大曲厚生医療センター                         ○           228
秋田   秋田厚生医療センター                         ○           205
秋田   市立横手病院                             ○           358
秋田   雄勝中央病院                             ○           617
秋田   本荘第一病院                             ○           126
秋田   大館市立総合病院                           ○           141
秋田   能代厚生医療センター                         ○           275
秋田   市立角館総合病院                           ○           561
山形   山形県立中央病院                           ○           677
山形   山形市立病院済生館                          ○           238
山形   日本海総合病院                            ○           324
山形   米沢市立病院                             ○           539
山形   公立置賜総合病院                           ○           966
山形   鶴岡市立荘内病院                           ○           67
山形   山形県立新庄病院                           ○           25
山形   済生会山形済生病院                          ○           296
宮城   国立病院機構 仙台医療センター                    ○           842
宮城   東北労災病院                             ○           104
宮城   仙台市立病院                             ○           922
宮城   坂総合病院                              ○           626
宮城   大崎市民病院                             ○           794
宮城   石巻赤十字病院                            ○           518
宮城   社会医療法人将道会 総合南東北病院                  ○           343
宮城   地域医療機能推進機構 仙台病院                    ○           500
宮城   仙台徳洲会病院                            ○           747
宮城   仙台厚生病院                             ○           881
宮城   気仙沼市立病院                            ○           58
宮城   みやぎ県南中核病院                          ○           87
宮城   仙台赤十字病院                            ○           860
宮城   仙台オープン病院                           ○           654
宮城   東北公済病院                             ○           293
宮城   栗原市立栗原中央病院                         ○           811
宮城   登米市立登米市民病院                         ○           702
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

